app_id,app_name,app_category,shader,shader_exists,pubspec_declared,has_extra_params,sync_status,registry_resolution,registry_match_guess,recommended_action
kaleidoscope_basic,Kaleidoscope Basic,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_basic_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_rays,Kaleidoscope Rays,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_rays_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_mandala,Kaleidoscope Mandala,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_mandala_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_star,Kaleidoscope Star,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_star_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_snowflake,Kaleidoscope Snowflake,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_snowflake_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_flower,Kaleidoscope Flower,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_flower_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_jewel,Kaleidoscope Jewel,Kaleidoscopes,shaders/kaleidoscopes/textured_light/kaleidoscope_jewel_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_spiral,Kaleidoscope Spiral,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_spiral_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_geometric,Kaleidoscope Geometric,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_geometric_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_crystal,Kaleidoscope Crystal,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_crystal_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_wave,Kaleidoscope Wave,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_wave_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_fractal,Kaleidoscope Fractal,Kaleidoscopes,shaders/kaleidoscopes/textured_light/kaleidoscope_fractal_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_rosette,Kaleidoscope Rosette,Kaleidoscopes,shaders/kaleidoscopes/classic_symmetry/kaleidoscope_rosette_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_ring,Kaleidoscope Ring,Kaleidoscopes,shaders/kaleidoscopes/radial_ornaments/kaleidoscope_ring_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
kaleidoscope_nebula,Kaleidoscope Nebula,Kaleidoscopes,shaders/kaleidoscopes/textured_light/kaleidoscope_nebula_gpu.frag,true,true,false,pending,,,owner_decision_category_or_effect
alternated_iteration,Alternated Iteration,Escape-Time,shaders/escape_time_family/experimental_named/coupled_orbits/alternated_iteration_gpu.frag,true,true,false,pending,,,add_new_registry_entry
bedhead,Bedhead,Escape-Time,shaders/escape_time_family/experimental_named/discrete_attractors/bedhead_gpu.frag,true,true,false,pending,,,add_new_registry_entry
bogdanov_map,Bogdanov Map,Escape-Time,shaders/strange_attractors/bogdanov_map_gpu.frag,true,true,false,pending,,f0207_bogdanov_map:Bogdanov Map:reference:Strange Attractors,reconcile_alias_or_existing_reference
buddhabrot_full,Buddhabrot Full,Escape-Time,shaders/escape_time_family/families/buddhabrot/buddhabrot_full_gpu.frag,true,true,false,reconciled_alias,f1142_buddhabrot,f1142_buddhabrot:Buddhabrot:implemented:Escape-Time (Complex Plane),reconcile_alias_or_existing_reference
buffalo2,Buffalo2,Escape-Time,shaders/escape_time_family/families/buffalo/buffalo2_gpu.frag,true,true,false,pending,,,add_new_registry_entry
buffalo_power7,Buffalo Power7,Escape-Time,shaders/escape_time_family/families/buffalo/buffalo_power7_gpu.frag,true,true,false,pending,,,add_new_registry_entry
burning_ship_power7,Burning Ship Power7,Escape-Time,shaders/escape_time_family/families/burning_ship/parameter_plane/burning_ship_power7_gpu.frag,true,true,false,pending,,burning_ship:Burning Ship:implemented:Escape-Time; burning_ship_power4:Burning Ship ⁴:implemented:Escape-Time; burning_ship_power5:Burning Ship ⁵:implemented:Escape-Time; burning_ship_power6:Burning Ship⁶:implemented:Escape-Time,reconcile_alias_or_existing_reference
burning_ship_power7_julia,Burning Ship Power7 Julia,Escape-Time,shaders/escape_time_family/families/burning_ship/julia_sets/burning_ship_power7_julia_gpu.frag,true,true,false,pending,,burning_ship:Burning Ship:implemented:Escape-Time; burning_ship_power4:Burning Ship ⁴:implemented:Escape-Time; burning_ship_power5:Burning Ship ⁵:implemented:Escape-Time; burning_ship_power6:Burning Ship⁶:implemented:Escape-Time,reconcile_alias_or_existing_reference
celtic2,Celtic2,Escape-Time,shaders/escape_time_family/families/celtic/celtic2_gpu.frag,true,true,false,pending,,,add_new_registry_entry
celtic_power7,Celtic Power7,Escape-Time,shaders/escape_time_family/families/celtic/celtic_power7_gpu.frag,true,true,false,pending,,,add_new_registry_entry
chebyshev_fractal,Chebyshev Fractal,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/high_order_root_methods/chebyshev_fractal_gpu.frag,true,true,false,pending,,chebyshev:Chebyshev Fractal:implemented:Escape-Time,reconcile_alias_or_existing_reference
chebyshev_halley_param,Chebyshev Halley Param,Escape-Time,shaders/root_finding/chebyshev_halley_param_gpu.frag,true,true,false,pending,,chebyshev:Chebyshev Fractal:implemented:Escape-Time,reconcile_alias_or_existing_reference
cosecant_julia,Cosecant Julia,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/cosecant_julia_gpu.frag,true,true,false,pending,,,add_new_registry_entry
cosecant_mandelbrot,Cosecant Mandelbrot,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/cosecant_mandelbrot_gpu.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,reconcile_alias_or_existing_reference
cotangent_julia,Cotangent Julia,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/cotangent_julia_gpu.frag,true,true,false,pending,,tangent_julia:Tangent Julia:implemented:Escape-Time,reconcile_alias_or_existing_reference
cotangent_mandelbrot,Cotangent Mandelbrot,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/cotangent_mandelbrot_gpu.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time; tangent_mandelbrot:Tangent Mandelbrot:implemented:Escape-Time; f0490_tangent_mandelbrot:Tangent Mandelbrot:reference:Escape-Time (Complex Plane),reconcile_alias_or_existing_reference
dirichlet_eta,Dirichlet Eta,Escape-Time,shaders/trigonometric_and_transcendental/special_functions/dirichlet_eta_gpu.frag,true,true,false,pending,,,add_new_registry_entry
exp_additive_mandelbrot,Exp Additive Mandelbrot,Escape-Time,shaders/escape_time_family/mandelbrot_variants/iterative_maps/exp_additive_mandelbrot_gpu.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,reconcile_alias_or_existing_reference
fractal_dream,Fractal Dream,Escape-Time,shaders/escape_time_family/experimental_named/discrete_attractors/fractal_dream_gpu.frag,true,true,false,pending,,,add_new_registry_entry
inverse_quadratic,Inverse Quadratic,Escape-Time,shaders/escape_time_family/polynomial_maps/inverse_quadratic_gpu.frag,true,true,false,pending,,,add_new_registry_entry
jacobi_sn,Jacobi Sn,Escape-Time,shaders/trigonometric_and_transcendental/special_functions/jacobi_sn_gpu.frag,true,true,false,pending,,,add_new_registry_entry
jarratt,Jarratt,Escape-Time,shaders/root_finding/jarratt_gpu.frag,true,true,false,pending,,,add_new_registry_entry
jason_rampe_1,Jason Rampe 1,Escape-Time,shaders/escape_time_family/experimental_named/discrete_attractors/jason_rampe_1_gpu.frag,true,true,false,pending,,,add_new_registry_entry
jason_rampe_2,Jason Rampe 2,Escape-Time,shaders/escape_time_family/experimental_named/discrete_attractors/jason_rampe_2_gpu.frag,true,true,false,pending,,,add_new_registry_entry
julia,Julia,Escape-Time,shaders/escape_time_family/core/julia_gpu.frag,true,true,false,pending,,,review_duplicate_or_renderer_variant
king,King,Escape-Time,shaders/escape_time_family/experimental_named/discrete_attractors/king_gpu.frag,true,true,false,pending,,,add_new_registry_entry
kleinian_limit_set,Kleinian Limit Set,Escape-Time,shaders/ifs_and_geometric/kleinian_limit_set_gpu.frag,true,true,false,reconciled_alias,f0290_kleinian_limit_set,f0290_kleinian_limit_set:Kleinian Limit Set:implemented:IFS & Geometric Construction,reconcile_alias_or_existing_reference
laguerre_fractal,Laguerre Fractal,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/high_order_root_methods/laguerre_fractal_gpu.frag,true,true,false,pending,,laguerre:Laguerre Fractal:implemented:Escape-Time,reconcile_alias_or_existing_reference
mandelbrot_df2,Mandelbrot Df2,Escape-Time,shaders/legacy/precision/mandelbrot_df2.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,review_duplicate_or_renderer_variant
mandelbrot_et,Mandelbrot Et,Escape-Time,shaders/legacy/escape_time/mandelbrot_et.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,review_duplicate_or_renderer_variant
mandelbrot_hardgrad,Mandelbrot Hardgrad,Escape-Time,shaders/legacy/diagnostics/mandelbrot_hardgrad.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,review_duplicate_or_renderer_variant
mandelbrot_simple,Mandelbrot Simple,Escape-Time,shaders/legacy/diagnostics/mandelbrot_simple.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,review_duplicate_or_renderer_variant
mandelbrot_tex,Mandelbrot Tex,Escape-Time,shaders/legacy/escape_time/mandelbrot_tex.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,review_duplicate_or_renderer_variant
mandel_julia_dual,Mandel Julia Dual,Escape-Time,shaders/escape_time_family/core/mandel_julia_dual_gpu.frag,true,true,false,pending,,,review_duplicate_or_renderer_variant
mandel_step_escape,Mandel Step Escape,Escape-Time,shaders/legacy/escape_time/mandel_step_escape.frag,true,true,false,pending,,,review_duplicate_or_renderer_variant
mittag_leffler,Mittag Leffler,Escape-Time,shaders/trigonometric_and_transcendental/special_functions/mittag_leffler_gpu.frag,true,true,false,pending,,,add_new_registry_entry
muller,Muller,Escape-Time,shaders/root_finding/muller_gpu.frag,true,true,false,reconciled_alias,f0011_m_ller_s_method,f0011_m_ller_s_method:Müller's Method:implemented:Newton / Root-Finding,reconcile_alias_or_existing_reference
neta_order16,Neta Order16,Escape-Time,shaders/root_finding/neta_order16_gpu.frag,true,true,false,pending,,,add_new_registry_entry
noor_newton,Noor Newton,Escape-Time,shaders/root_finding/noor_newton_gpu.frag,true,true,false,pending,,,add_new_registry_entry
nova_degree5,Nova Degree5,Escape-Time,shaders/escape_time_family/families/nova/parameter_plane/nova_degree5_gpu.frag,true,true,false,pending,,,add_new_registry_entry
nova_degree5_julia,Nova Degree5 Julia,Escape-Time,shaders/escape_time_family/families/nova/julia_sets/nova_degree5_julia_gpu.frag,true,true,false,pending,,,add_new_registry_entry
nova,Nova,Escape-Time,shaders/escape_time_family/families/nova/parameter_plane/nova_gpu.frag,true,true,false,pending,,nova_degree4:Nova⁴:implemented:Escape-Time; f0012_nova_fractal:Nova Fractal:reference:Newton / Root-Finding,review_duplicate_or_renderer_variant
nova_mandelbrot,Nova Mandelbrot,Escape-Time,shaders/escape_time_family/families/nova/parameter_plane/nova_mandelbrot_gpu.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,reconcile_alias_or_existing_reference
orbit_trap_cross,Orbit Trap Cross,Escape-Time,shaders/escape_time_family/orbit_and_domain/orbit_trap_cross_gpu.frag,true,true,false,pending,,f1156_orbit_trap_cross:Orbit Trap Cross:reference:Escape-Time (Complex Plane),reconcile_alias_or_existing_reference
orbit_trap_point,Orbit Trap Point,Escape-Time,shaders/escape_time_family/orbit_and_domain/orbit_trap_point_gpu.frag,true,true,false,pending,,f1158_orbit_trap_point_origin:Orbit Trap Point (Origin):reference:Escape-Time (Complex Plane); f1159_orbit_trap_point_custom:Orbit Trap Point (Custom):reference:Escape-Time (Complex Plane),reconcile_alias_or_existing_reference
orbit_trap_ring,Orbit Trap Ring,Escape-Time,shaders/escape_time_family/orbit_and_domain/orbit_trap_ring_gpu.frag,true,true,false,pending,,,add_new_registry_entry
ostrowski,Ostrowski,Escape-Time,shaders/root_finding/ostrowski_gpu.frag,true,true,false,pending,,,add_new_registry_entry
phoenix,Phoenix,Escape-Time,shaders/escape_time_family/core/phoenix_gpu.frag,true,true,false,pending,,,review_duplicate_or_renderer_variant
picard_mann_newton,Picard Mann Newton,Escape-Time,shaders/root_finding/picard_mann_newton_gpu.frag,true,true,false,pending,,,add_new_registry_entry
schroeder_z5,Schroeder Z5,Escape-Time,shaders/root_finding/schroeder_z5_gpu.frag,true,true,false,pending,,schroeder:Schröder:implemented:Escape-Time,reconcile_alias_or_existing_reference
schroeder_z6,Schroeder Z6,Escape-Time,shaders/root_finding/schroeder_z6_gpu.frag,true,true,false,pending,,schroeder:Schröder:implemented:Escape-Time,reconcile_alias_or_existing_reference
secant_julia,Secant Julia,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/secant_julia_gpu.frag,true,true,false,pending,,,add_new_registry_entry
secant_mandelbrot,Secant Mandelbrot,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/secant_mandelbrot_gpu.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,reconcile_alias_or_existing_reference
sierpinski_julia_rational,Sierpinski Julia Rational,Escape-Time,shaders/ifs_and_geometric/sierpinski_julia_rational_gpu.frag,true,true,false,pending,,,add_new_registry_entry
sprott_g,Sprott G,Escape-Time,shaders/strange_attractors/sprott_g_gpu.frag,true,true,false,pending,,f0020_sprott_g:Sprott G:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_h,Sprott H,Escape-Time,shaders/strange_attractors/sprott_h_gpu.frag,true,true,false,pending,,f0021_sprott_h:Sprott H:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_i,Sprott I,Escape-Time,shaders/strange_attractors/sprott_i_gpu.frag,true,true,false,pending,,f0022_sprott_i:Sprott I:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_k,Sprott K,Escape-Time,shaders/strange_attractors/sprott_k_gpu.frag,true,true,false,pending,,f0024_sprott_k:Sprott K:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_l,Sprott L,Escape-Time,shaders/strange_attractors/sprott_l_gpu.frag,true,true,false,pending,,f0025_sprott_l:Sprott L:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_m,Sprott M,Escape-Time,shaders/strange_attractors/sprott_m_gpu.frag,true,true,false,pending,,f0026_sprott_m:Sprott M:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_n,Sprott N,Escape-Time,shaders/strange_attractors/sprott_n_gpu.frag,true,true,false,pending,,f0027_sprott_n:Sprott N:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_o,Sprott O,Escape-Time,shaders/strange_attractors/sprott_o_gpu.frag,true,true,false,pending,,f0028_sprott_o:Sprott O:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_s,Sprott S,Escape-Time,shaders/strange_attractors/sprott_s_gpu.frag,true,true,false,pending,,f0032_sprott_s:Sprott S:reference:Strange Attractors,reconcile_alias_or_existing_reference
steffensen,Steffensen,Escape-Time,shaders/root_finding/steffensen_gpu.frag,true,true,false,pending,,steffensen_z3:Steffensen z³−1:implemented:Escape-Time; steffensen_z4:Steffensen z⁴−1:implemented:Escape-Time; steffensen_z5:Steffensen z⁵−1:implemented:Escape-Time,reconcile_alias_or_existing_reference
steffensen_order8,Steffensen Order8,Escape-Time,shaders/root_finding/steffensen_order8_gpu.frag,true,true,false,pending,,,add_new_registry_entry
superexponential,Superexponential,Escape-Time,shaders/trigonometric_and_transcendental/exponential_iteration/superexponential_gpu.frag,true,true,false,pending,,exponential:Exponential Fractal:implemented:Escape-Time,reconcile_alias_or_existing_reference
super_halley,Super Halley,Escape-Time,shaders/root_finding/super_halley_gpu.frag,true,true,false,pending,,,add_new_registry_entry
symmetric_icon,Symmetric Icon,Escape-Time,shaders/escape_time_family/geometry_and_ifs/symmetric_icon_gpu.frag,true,true,false,pending,,f0184_centrally_symmetric_julia:Centrally Symmetric Julia:reference:Escape-Time (Complex Plane),reconcile_alias_or_existing_reference
transcendental_sin,Transcendental Sin,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/transcendental_sin_gpu.frag,true,true,false,pending,,,add_new_registry_entry
traub_ostrowski,Traub Ostrowski,Escape-Time,shaders/root_finding/traub_ostrowski_gpu.frag,true,true,false,pending,,,add_new_registry_entry
weierstrass_elliptic,Weierstrass Elliptic,Escape-Time,shaders/trigonometric_and_transcendental/special_functions/weierstrass_elliptic_gpu.frag,true,true,false,pending,,f0534_weierstrass_elliptic:Weierstrass Elliptic:reference:Escape-Time (Complex Plane); f0762_weierstrass_function:Weierstrass Function:reference:Number-Theory Fractals,reconcile_alias_or_existing_reference
weierstrass_function,Weierstrass Function,Escape-Time,shaders/trigonometric_and_transcendental/special_functions/weierstrass_function_gpu.frag,true,true,false,pending,,"f0762_weierstrass_function:Weierstrass Function:reference:Number-Theory Fractals; f0763_weierstrass_function_a_0_3_b_7:Weierstrass Function (a=0.3, b=7):reference:Number-Theory Fractals",reconcile_alias_or_existing_reference
newton_z3_nova,Newton z³ Nova,Convergent & Root-Finding,shaders/root_finding/newton_z3_gpu.frag,true,true,true,pending,,newton_z3:Newton Fractal (z³ - 1):implemented:Escape-Time,reconcile_alias_or_existing_reference
newton_z4_nova,Newton z⁴ Nova,Convergent & Root-Finding,shaders/root_finding/newton_z4_gpu.frag,true,true,true,pending,,newton_z4:Newton z⁴−1:implemented:Escape-Time,reconcile_alias_or_existing_reference
newton_z5_nova,Newton z⁵ Nova,Convergent & Root-Finding,shaders/root_finding/newton_z5_gpu.frag,true,true,true,pending,,newton_z5:Newton z⁵−1:implemented:Escape-Time,reconcile_alias_or_existing_reference
newton_z6_nova,Newton z⁶ Nova,Convergent & Root-Finding,shaders/root_finding/newton_z6_gpu.frag,true,true,true,pending,,newton_z6:Newton z⁶−1:implemented:Escape-Time,reconcile_alias_or_existing_reference
halley_nova,Halley Nova,Convergent & Root-Finding,shaders/root_finding/halley_gpu.frag,true,true,true,pending,,,add_new_registry_entry
schroeder_nova,Schröder Nova,Convergent & Root-Finding,shaders/root_finding/schroeder_gpu.frag,true,true,true,pending,,schroeder:Schröder:implemented:Escape-Time,reconcile_alias_or_existing_reference
householder_nova,Householder Nova,Convergent & Root-Finding,shaders/root_finding/householder_gpu.frag,true,true,true,pending,,householder:Householder Fractal:implemented:Escape-Time; f0009_householder_s_method_3rd_order:Householder's Method (3rd Order):reference:Newton / Root-Finding,reconcile_alias_or_existing_reference
phoenix_julia,Phoenix Julia,Escape-Time,shaders/escape_time_family/core/phoenix_gpu.frag,true,true,true,pending,,,add_new_registry_entry
