rank,slug,name,category,renderer_class,animation_class,promotion_action,dedup_scan_result,source_check_target,source_check_status,first_practical_path,app_admission_gate,promotion_note,registry_status,promotion_batch
1,exponential_family_parameter_plane,Exponential Family Parameter Plane,complex dynamics,single_pass_escape_time,parameter_morph,promoted_reference,none found in fuzzy scan,transcendental complex dynamics references for z -> lambda exp(z); parameter-plane conventions,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,lambda*exp(z) parameter-plane shader,shader compile + parameter-plane labels,Low overlap in registry scan; canonical transcendental-family parameter plane. Verify lambda*exp(z) formula and parameter-window conventions before registry insertion.,promoted_reference,frontier_reference_microbatch_2026_06_06
2,sine_family_parameter_plane,Sine Family Parameter Plane,complex dynamics,single_pass_escape_time,parameter_morph,promoted_reference,none found in fuzzy scan,transcendental complex dynamics references for z -> lambda sin(z),source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,lambda*sin(z) parameter-plane shader,shader compile + thumbnail proof,Low overlap in registry scan; distinct from ordinary trigonometric coloring because it is an iterated transcendental parameter plane.,promoted_reference,frontier_reference_microbatch_2026_06_06
3,baker_domain_exponential_map,Baker Domain Exponential Map,complex dynamics,single_pass_escape_time,time_parametric,promoted_reference,none found in fuzzy scan,transcendental dynamics references that define Baker domains and a concrete iterated map,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,transcendental map shader,formula provenance + bailout safety,Low overlap in registry scan; reference-tier only until formula/source specificity is confirmed.,promoted_reference,frontier_reference_microbatch_2_2026_06_06
4,lattes_map_julia_set,Lattes Map Julia Set,complex dynamics,single_pass_escape_time,parameter_morph,reconcile_or_reference_family,"targeted search: Lattès Map (degree 4, Weierstrass); Lattès Map (degree 9)",complex dynamics references for Lattès maps; choose canonical rational representative,source target identified; external citation/formula verification still required before registry insertion,rational map shader presets,canonical formula + zoom/readability proof,"Existing Lattès references are present; safest action is reconcile/enrich a Lattès family entry or add only a distinct Julia-set showcase alias, not a duplicate canonical entry.",candidate,
5,modular_lambda_function_coloring,Modular Lambda Function Coloring,domain coloring / modular,single_pass_domain_coloring,phase_rotation,promoted_reference,lambda_w (Lambda W Fractal) via lambda; lambda (Lambda Fractal) via lambda,modular lambda function definitions and numerically stable q-series/product source,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,domain-coloring function module,source + function approximation proof,Possible generic lambda-name collisions only; distinct modular lambda function entry if source/formula is verified.,promoted_reference,frontier_reference_microbatch_2_2026_06_06
6,dedekind_eta_function_coloring,Dedekind Eta Function Coloring,domain coloring / modular,single_pass_domain_coloring,phase_rotation,promoted_reference,none found in fuzzy scan,Dedekind eta function definitions and q-product/series convergence source,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,domain-coloring function module,series convergence + visual proof,Low overlap in registry scan; domain-coloring entry with series/convergence gate.,promoted_reference,frontier_reference_microbatch_2026_06_06
7,schwarz_triangle_function_tessellation,Schwarz Triangle Function Tessellation,domain coloring / hyperbolic,single_pass_domain_coloring,parameter_morph,promoted_reference,none found in fuzzy scan,Schwarz triangle function / triangle group references and mapping formula,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,reference first; shader later,formula + feasibility prototype,Low overlap in registry scan; promote as reference first because shader feasibility is uncertain.,promoted_reference,frontier_reference_microbatch_2026_06_06
8,gamma_function_newton_fractal,Gamma Function Newton Fractal,root finding / special functions,single_pass_root_finding,parameter_morph,promoted_reference,newton_z8 (Newton z⁸−1) via newton; newton_z7 (Newton z⁷−1) via newton; newton_z6 (Newton z⁶−1) via newton,Newton method applied to Gamma/reciprocal-Gamma roots or poles; numerical source,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,Newton shader with gamma approximation or CPU prototype,numerical stability + compile proof,Newton-family overlap is expected but gamma-function roots/poles make this a distinct formula target.,promoted_reference,frontier_reference_microbatch_2026_06_06
9,newton_basins_for_trigonometric_equations,Newton Basins for Trigonometric Equations,root finding / transcendental,single_pass_root_finding,parameter_morph,promoted_reference,f0003_mitchell_alternating_equations_newton (Mitchell Alternating-Equations Newton) via equations/newton,Newton fractal references for sin/cos/tan equations and pole handling,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,sin/cos/tan equation shader variants,pole guards + domain window presets,"Overlap with Newton-family entries; promote as a family pack only, not one entry per equation preset.",promoted_reference,frontier_reference_microbatch_2_2026_06_06
10,householder_order_four_basin,Householder Order Four Basin,root finding / polynomiography,single_pass_root_finding,parameter_morph,promoted_reference,f0009_householder_s_method_3rd_order (Householder's Method (3rd Order)) via householder/order,Householder method order-4 formula and polynomial-root basin references,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,root-finding shader template,formula + bounded iteration proof,Existing Householder 3rd-order reference found; order-4 should be distinct only if formula/order is explicit.,promoted_reference,frontier_reference_microbatch_2_2026_06_06
11,quasi_fuchsian_group_limit_set,Quasi-Fuchsian Group Limit Set,kleinian / hyperbolic,raymarched_or_escape_limit_set,parameter_morph,reconcile_existing_reference,targeted search: Kleinian QuasiFuchsian 3D,Kleinian/quasi-Fuchsian group limit-set references and generator model,source target identified; external citation/formula verification still required before registry insertion,reference first; shader prototype,dedup + formula clarity,"Existing QuasiFuchsian/Kleinian reference is present; promote by enriching aliases/formula/renderer notes, not by adding a duplicate.",candidate,
12,schottky_group_circle_inversion_limit_set,Schottky Group Circle Inversion Limit Set,kleinian / inversion,single_pass_or_raymarch,parameter_morph,reconcile_existing_reference,targeted search: Schottky Circle IFS; Kleinian Schottky 3D,Schottky group/circle inversion IFS references and relation to existing f0291,source target identified; external citation/formula verification still required before registry insertion,circle-inversion shader,generator params + thumbnail proof,Existing Schottky references are present; safe action is reconcile circle-inversion limit-set wording with existing Schottky entries.,candidate,
13,apollonian_sphere_packing_3d,Apollonian Sphere Packing 3D,3d / inversive geometry,raymarched_sdf,camera_path,new_3d_reference_or_variant,f0289_apollonian_packing_ifs (Apollonian Packing IFS) via apollonian/packing,Apollonian sphere packing / Descartes configuration references,source target identified; external citation/formula verification still required before registry insertion,sphere inversion raymarcher,frame budget + compile proof,Related to 2D/IFS Apollonian entries; distinct only if explicitly 3D sphere packing/raymarch target.,candidate,
14,coxeter_honeycomb_435_slice,Coxeter Honeycomb 435 Slice,3d / hyperbolic tiling,raymarched_sdf,camera_path,promoted_reference,none found in fuzzy scan,"Coxeter group/honeycomb references for {4,3,5} or intended 435 notation",source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,KIFS/Coxeter raymarcher,performance + accessible description,Low overlap in registry scan; source-check Coxeter symbol and dimension before registry insertion.,promoted_reference,frontier_reference_microbatch_2_2026_06_06
15,hyperbolic_honeycomb_534_slice,Hyperbolic Honeycomb 534 Slice,3d / hyperbolic tiling,raymarched_sdf,camera_path,promoted_reference,none found in fuzzy scan,"Coxeter group/honeycomb references for {5,3,4} or intended 534 notation",source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,reference first; raymarch prototype,source + prototype,Low overlap in registry scan; source-check Coxeter symbol and slice semantics.,promoted_reference,frontier_reference_microbatch_3_2026_06_06
16,dodecahedral_fold_fractal,Dodecahedral Fold Fractal,3d / polyhedral IFS,raymarched_sdf,camera_path,promoted_reference,none found in fuzzy scan,polyhedral fold / dodecahedral symmetry fractal references,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,polyhedral fold shader,frame budget proof,Low overlap in registry scan; fold-system formula/provenance needed before implementation.,promoted_reference,frontier_reference_microbatch_3_2026_06_06
17,4d_polychoron_fold_slice,4D Polychoron Fold Slice,4d / hypercomplex,raymarched_slice,parameter_morph,promoted_reference,none found in fuzzy scan,4D polychoron reflection/fold system references and slice model,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,reference first; 4D slice prototype,clear slice semantics,Low overlap in registry scan; reference-tier only until slice/projection semantics are exact.,promoted_reference,frontier_reference_microbatch_3_2026_06_06
18,knot_complement_limit_set_visual,Knot-Complement Limit-Set Visual,hyperbolic topology,reference_first,camera_path,new_reference_research_only,none found in fuzzy scan,hyperbolic knot complement / Kleinian group visual references,source target identified; external citation/formula verification still required before registry insertion,reference/catalog research first,do not app-admit without formula/prototype,Low overlap in registry scan; high novelty but must not app-admit without a concrete mathematical construction.,candidate,
19,rauzy_fractal_tribonacci_tile,Rauzy Fractal Tribonacci Tile,tiling / substitution,procedural_geometry_or_reference,parameter_morph,reconcile_existing_reference,targeted search: Rauzy Fractal; Rauzy Fractal (L-system form); Rauzy Fractal Tiling; Rauzy Fractal (Substitution),Rauzy fractal and Tribonacci substitution references,source target identified; external citation/formula verification still required before registry insertion,reference first; point-cloud prototype,construction + dedup,Rauzy is already represented; promote by deduping/enriching the substitution/Tribonacci construction rather than adding a new canonical entry.,candidate,
20,paperfolding_curve_atlas,Paperfolding Curve Atlas,space-filling / folding,procedural_geometry,growth_process,promoted_reference,none found in fuzzy scan,regular paperfolding/dragon/paperfolding curve construction references,source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,L-system construction reveal,construction stage validation,Low overlap in registry scan; promote as atlas/family to avoid counting every fold preset separately.,promoted_reference,frontier_reference_microbatch_3_2026_06_06
21,modular_tessellation_fundamental_domain,Modular Tessellation Fundamental Domain,number theory / hyperbolic,single_pass_geometry,parameter_morph,promoted_reference,none found in fuzzy scan,"PSL(2,Z), modular tessellation, and fundamental-domain references",source URLs probed from agent environment; added to registry as reference-tier only on 2026-06-06,hyperbolic tiling shader,source + coordinate proof,"Low overlap in registry scan; distinct from generic hyperbolic tiling if tied to PSL(2,Z) fundamental domain.",promoted_reference,frontier_reference_microbatch_3_2026_06_06
22,gaussian_prime_spiral,Gaussian Prime Spiral,number theory,procedural_geometry,camera_path,new_reference_with_gaussian_lattice_dedup,targeted search: Gaussian Integer Lattice Fractal,Gaussian integer primality and lattice visualization references,source target identified; external citation/formula verification still required before registry insertion,integer lattice shader/prototype,primality bounds + visual proof,Gaussian integer lattice exists; Gaussian prime spiral is distinct only if primality visualization and lattice convention are explicit.,candidate,
23,p_adic_julia_set_slice,p-adic Julia Set Slice,number theory / p-adic,reference_first,parameter_morph,new_reference_with_p_adic_dedup,targeted search: p-adic Fractal (p=3); p-adic Fractal (p=5),p-adic dynamics references and visualization model,source target identified; external citation/formula verification still required before registry insertion,reference then CPU prototype,clear metric/model; no fake complex plot,p-adic references exist; a p-adic Julia slice is only safe as a distinct entry if a real p-adic dynamical-system construction is sourced.,candidate,
24,physarum_slime_mold_network,Physarum Slime Mold Network,stateful morphogenesis,stateful_grid_or_particles,stateful_grid,new_reference_stateful,none found in fuzzy scan,agent-based Physarum/slime-mold network model references,source target identified; external citation/formula verification still required before registry insertion,prototype particle/texture state,state/performance proof,Low overlap in registry scan; animation/stateful renderer gate before app visibility.,candidate,
25,diffusion_limited_aggregation_crystal,Diffusion-Limited Aggregation Crystal,natural growth / stochastic,stateful_particles_or_grid,growth_process,reconcile_or_new_stateful_variant,targeted search: DLA (Approximation),Witten-Sander DLA / diffusion-limited aggregation references,source target identified; external citation/formula verification still required before registry insertion,prototype stateful particle accumulation,stateful proof + deterministic seed,DLA approximation exists; a crystal/growth entry should reconcile with it or remain a stateful-variant candidate until the model is explicit.,candidate,
